trial,original_ns,tco_ns,method2_ns,iterative_ns
544,2252038,2351507,1840407,1483786
545,2078599,2143760,1773075,1394277
546,1991010,2075779,1822407,1426377
547,2208297,2286454,1804179,1419597
548,1930732,1969817,1789095,1347356
549,2447496,2635395,1916164,1603211
550,1955909,2000153,1786467,1398741
551,1970477,2014674,1774107,1345388
552,2079823,2185340,1826391,1485946
553,1963914,1984182,1720237,1298215
554,2060239,2104843,1765934,1344236
555,2295706,2385552,1797579,1413981
556,2110711,2185436,1755998,1395008
557,2077747,2113616,1674961,1320235
558,2371679,2469505,1820691,1463122
559,1996350,2017158,1657549,1274779
560,2078276,2163248,1772726,1419909
561,2086195,2132456,1709125,1352576
562,2099720,2192421,1811007,1465006
563,2021598,2077927,1774406,1366064
564,1971797,1998917,1715642,1320656
565,1988790,2071266,1806207,1444798
566,1975973,2016150,1749170,1348532
567,2087971,2155952,1719398,1372724
568,2078732,2118512,1709354,1317128
569,2053651,2093816,1729070,1346900
570,2082835,2128987,1730378,1344032
571,2011662,2060238,1759286,1348616
572,1939397,1978445,1697041,1277131
573,2061607,2104700,1722338,1357065
574,2026086,2067907,1746350,1350740
575,2129564,2175837,1740410,1378869
576,2140124,2194257,1717669,1370708
577,2006898,2030874,1760234,1301911
578,2132432,2163068,1763090,1341704
579,2139668,2200112,1781427,1368513
580,2224089,2324699,1791170,1442229
581,2106043,2187968,1741502,1366041
582,2048191,2099660,1747802,1332644
583,1968725,2007918,1771539,1343599
584,2006910,2059206,1741562,1365573
585,2187117,2265898,1820811,1406205
586,2003921,2157812,1876084,1489666
587,1999902,2026134,1741226,1301527
588,2138288,2206917,1762647,1376577
589,2111972,2177973,1751078,1391577
590,2191304,2276626,1751234,1398381
591,2232645,2321459,1778678,1409217
592,2006418,2056303,1759227,1397037
593,2086687,2128844,1689217,1321340
594,2088020,2164424,1751462,1374164
595,2021886,2074243,1733738,1343576
596,2142080,2239845,1800591,1448806
597,2228313,2310047,1828635,1439265
598,2170724,2228325,1743422,1382961
599,2178561,2240097,1774035,1392393
600,2137160,2200425,1758362,1360136
601,2273122,2373431,1839459,1443945
602,2007522,2042755,1755974,1342088
603,2107207,2153792,1730402,1326055
604,2179376,2259705,1749602,1413345
605,2207709,2275522,1794027,1424554
606,1918817,1941173,1737338,1338080
607,1973910,2005662,1713385,1307203
608,2106788,2163728,1753982,1377057
609,2065099,2105336,1724594,1339580
610,2285650,2409852,1823019,1448709
611,2094031,2190500,1803663,1429953
612,2169332,2215605,1721797,1337252
613,2077171,2122868,1741202,1372076
614,2240901,2468989,1942697,1565447
615,2089675,2140424,1723885,1358480
616,2038098,2060466,1687777,1295887
617,1927541,1956761,1738418,1323308
618,2065255,2104099,1767926,1359032
619,2028906,2058498,1759250,1311043
620,2086399,2131592,1698649,1336820
621,2026494,2071063,1690609,1324244
622,2178452,2261181,1816311,1444185
623,2089435,2141984,1783947,1363748
624,2042046,2085607,1709870,1333399
625,1988465,2031366,1742798,1364169
626,2012322,2037486,1680085,1290091
627,2143400,2191401,1758758,1382325
628,2039011,2093539,1788530,1344764
629,2310251,2384268,1812291,1427865
630,2218257,2313047,1832547,1443118
631,2273638,2390004,1934261,1575156
632,2128640,2173053,1723286,1338116
633,2065675,2129888,1754474,1394649
634,2366399,2505974,1903313,1559327
635,2010282,2035338,1708310,1308344
636,2404884,2562998,1890124,1550195
637,1989869,2067007,1804899,1412661
638,1923413,1961273,1741706,1322588
639,2084803,2396916,1817511,1420377
640,2107807,2183816,1782230,1422801
641,2076871,2128904,1746206,1389657
642,2176809,2256874,1774383,1412469
643,2283610,2416956,1749098,1397264
644,2403648,2523374,1818435,1464310
645,2087419,2162216,1782782,1414197
646,1992210,2014351,1682053,1295251
647,1953930,2002074,1735069,1334816
648,1954901,1978085,1718486,1304864
649,2186073,2247789,1734914,1376085
650,2159132,2230521,1809123,1407765
651,2204433,2272281,1750934,1396857
652,2289970,2438484,1862572,1545131
653,2048718,2111575,1751414,1382889
654,2027742,2058007,1682245,1312963
655,2090035,2153732,1769978,1401105
656,2153924,2228961,1757114,1388145
657,2047375,2104987,1713146,1335835
658,2004342,2057215,1753778,1356524
659,2164208,2274634,1817979,1432641
660,1928764,1979718,1772643,1330340
661,1967898,1995318,1712713,1331744
662,1955693,2023566,1733306,1302127
