trial,original_ns,tco_ns,method2_ns,iterative_ns
295,1169328,1033757,875953,808293
296,976824,960744,899958,687215
297,975142,1001180,1065460,725499
298,1001915,1028623,919148,763007
299,1065044,1067419,919638,692305
300,982490,938167,933204,683988
301,1032201,1023181,941597,1301500
302,1153168,1221558,1146522,821429
303,1156533,1113723,1155415,841237
304,1174264,1640593,1433450,775744
305,1330182,1684881,1236587,840445
306,941437,967336,910457,702934
307,968838,999529,908754,688493
308,1146448,1119292,972097,751271
309,1399414,1022383,894579,699834
310,1014130,1086322,899415,702348
311,976292,1091135,906028,1137982
312,982969,997186,1129729,888105
313,1244912,1303122,1224151,841332
314,1086854,1138668,1405325,828287
315,1181452,1224103,1152859,751633
316,1168429,1174222,1271919,804720
317,924152,994247,941245,713337
318,963694,1009273,939871,822948
319,1068537,1050071,886273,695010
320,1421298,978187,904633,678216
321,959498,940212,914345,693072
322,1044023,1057856,928210,724765
323,1513415,989071,920031,839778
324,1663028,1130240,1081753,787170
325,1236297,1200110,903482,802250
326,3571758,1266328,983449,951469
327,1152682,1424303,1307267,702816
328,972672,1044075,918359,722177
329,1061338,1082211,940532,719099
330,1122764,1110644,955600,728545
331,968806,978519,946538,700665
332,959604,968593,939797,710952
333,1014981,1033767,966867,695766
334,1066194,1120112,2165295,1106140
335,1183625,3684006,1217032,864942
336,1270459,1286955,1264955,863984
337,1220504,2288040,3338995,837368
338,1023863,1010072,879032,727076
339,996217,1056195,928349,694105
340,1045960,1057642,1064543,776606
341,987676,992586,927572,740611
342,1009859,1001893,883249,698940
343,1034747,1186990,948625,718663
344,1116960,1609099,1157694,845732
345,1245338,1233837,1164659,814028
346,1112285,1257247,1138099,831237
347,1253346,1235200,1112381,809288
348,1094117,1046078,906316,692848
349,1092360,991617,899958,679111
350,959093,939530,984982,694988
351,1021659,1057100,1162859,846828
352,1184062,1241099,1236009,838884
353,1194093,1262708,1081114,820694
354,1273718,1090208,1102797,718056
355,1003800,1032692,925793,718993
356,1072967,1011042,906933,708918
357,1027888,1057643,956602,724658
358,1063085,2842159,1127311,822632
359,1228544,1274081,1325933,946213
360,1191607,1209332,1070774,818958
361,1158173,1057504,976569,813580
362,1256227,1194604,1199024,762234
363,1033596,979232,947731,718897
364,947646,983108,920149,730185
365,1019028,1295135,921566,806370
366,1201761,1275241,1135330,837903
367,1131832,1094043,1017186,839607
