variant,pattern,n,max_run_len,iter,comparisons,time_ns
runs,random_desc_runs,1000,8,26,7180,17093
runs,random_desc_runs,1000,8,27,7241,17633
runs,random_desc_runs,1000,8,28,7110,16995
runs,random_desc_runs,1000,8,29,7170,17248
vanilla,random_mixed_runs,1000,8,0,7954,24400
vanilla,random_mixed_runs,1000,8,1,7934,23166
vanilla,random_mixed_runs,1000,8,2,8028,23563
vanilla,random_mixed_runs,1000,8,3,8079,22570
vanilla,random_mixed_runs,1000,8,4,7933,23000
vanilla,random_mixed_runs,1000,8,5,7931,22053
vanilla,random_mixed_runs,1000,8,6,7982,22075
vanilla,random_mixed_runs,1000,8,7,8022,22703
vanilla,random_mixed_runs,1000,8,8,8073,22836
vanilla,random_mixed_runs,1000,8,9,8017,23078
vanilla,random_mixed_runs,1000,8,10,7982,22494
vanilla,random_mixed_runs,1000,8,11,8061,22791
vanilla,random_mixed_runs,1000,8,12,7953,23485
vanilla,random_mixed_runs,1000,8,13,8029,23530
vanilla,random_mixed_runs,1000,8,14,7969,22968
vanilla,random_mixed_runs,1000,8,15,7923,22086
vanilla,random_mixed_runs,1000,8,16,7974,23530
vanilla,random_mixed_runs,1000,8,17,7892,22692
vanilla,random_mixed_runs,1000,8,18,8009,22725
vanilla,random_mixed_runs,1000,8,19,7870,22758
vanilla,random_mixed_runs,1000,8,20,7975,22604
vanilla,random_mixed_runs,1000,8,21,7919,175045
vanilla,random_mixed_runs,1000,8,22,8048,35101
vanilla,random_mixed_runs,1000,8,23,8004,333305
vanilla,random_mixed_runs,1000,8,24,7962,23431
vanilla,random_mixed_runs,1000,8,25,7932,23022
vanilla,random_mixed_runs,1000,8,26,8026,23464
vanilla,random_mixed_runs,1000,8,27,7978,23331
vanilla,random_mixed_runs,1000,8,28,7961,23662
vanilla,random_mixed_runs,1000,8,29,8046,23695
runs,random_mixed_runs,1000,8,0,7602,19430
runs,random_mixed_runs,1000,8,1,7585,18294
runs,random_mixed_runs,1000,8,2,7561,18669
runs,random_mixed_runs,1000,8,3,7587,18008
runs,random_mixed_runs,1000,8,4,7650,19000
runs,random_mixed_runs,1000,8,5,7656,18648
runs,random_mixed_runs,1000,8,6,7512,17776
runs,random_mixed_runs,1000,8,7,7698,18636
runs,random_mixed_runs,1000,8,8,7752,19044
runs,random_mixed_runs,1000,8,9,7686,18680
runs,random_mixed_runs,1000,8,10,7537,18284
runs,random_mixed_runs,1000,8,11,7754,18835
runs,random_mixed_runs,1000,8,12,7644,18273
runs,random_mixed_runs,1000,8,13,7699,18614
runs,random_mixed_runs,1000,8,14,7651,18868
runs,random_mixed_runs,1000,8,15,7679,17997
runs,random_mixed_runs,1000,8,16,7809,19451
runs,random_mixed_runs,1000,8,17,7547,18097
runs,random_mixed_runs,1000,8,18,7627,30616
runs,random_mixed_runs,1000,8,19,7606,18834
runs,random_mixed_runs,1000,8,20,7597,18041
runs,random_mixed_runs,1000,8,21,7523,18493
runs,random_mixed_runs,1000,8,22,7602,18537
runs,random_mixed_runs,1000,8,23,7680,19022
runs,random_mixed_runs,1000,8,24,7484,18019
runs,random_mixed_runs,1000,8,25,7404,17733
runs,random_mixed_runs,1000,8,26,7750,18096
runs,random_mixed_runs,1000,8,27,7638,18526
runs,random_mixed_runs,1000,8,28,7806,18758
runs,random_mixed_runs,1000,8,29,7616,18228
vanilla,full_random,5000,8,0,55453,265747
vanilla,full_random,5000,8,1,55484,263091
vanilla,full_random,5000,8,2,55494,286742
vanilla,full_random,5000,8,3,55450,295184
vanilla,full_random,5000,8,4,55529,275655
vanilla,full_random,5000,8,5,55484,267675
vanilla,full_random,5000,8,6,55505,315649
vanilla,full_random,5000,8,7,55488,258462
vanilla,full_random,5000,8,8,55548,325678
vanilla,full_random,5000,8,9,55433,275147
vanilla,full_random,5000,8,10,55551,267532
vanilla,full_random,5000,8,11,55542,307604
vanilla,full_random,5000,8,12,55512,279269
vanilla,full_random,5000,8,13,55458,261471
vanilla,full_random,5000,8,14,55546,261470
vanilla,full_random,5000,8,15,55521,258903
vanilla,full_random,5000,8,16,55500,279237
vanilla,full_random,5000,8,17,55514,261030
vanilla,full_random,5000,8,18,55536,260809
vanilla,full_random,5000,8,19,55574,261372
vanilla,full_random,5000,8,20,55556,274211
vanilla,full_random,5000,8,21,55508,272337
vanilla,full_random,5000,8,22,55510,273054
vanilla,full_random,5000,8,23,55457,257205
vanilla,full_random,5000,8,24,55399,267025
vanilla,full_random,5000,8,25,55496,257525
vanilla,full_random,5000,8,26,55468,257724
vanilla,full_random,5000,8,27,55443,268910
vanilla,full_random,5000,8,28,55533,261195
vanilla,full_random,5000,8,29,55453,263024
runs,full_random,5000,8,0,58965,266684
runs,full_random,5000,8,1,58896,264711
runs,full_random,5000,8,2,58876,263069
runs,full_random,5000,8,3,58770,265416
runs,full_random,5000,8,4,58874,309797
runs,full_random,5000,8,5,59010,264292
runs,full_random,5000,8,6,58964,264666
runs,full_random,5000,8,7,58909,265306
runs,full_random,5000,8,8,58927,263333
runs,full_random,5000,8,9,58952,264678
runs,full_random,5000,8,10,58941,264987
runs,full_random,5000,8,11,58945,265604
runs,full_random,5000,8,12,58946,262529
runs,full_random,5000,8,13,59009,264424
runs,full_random,5000,8,14,58980,264171
runs,full_random,5000,8,15,58981,263851
runs,full_random,5000,8,16,58912,263377
runs,full_random,5000,8,17,58987,345990
runs,full_random,5000,8,18,58939,275081
runs,full_random,5000,8,19,58929,264909
runs,full_random,5000,8,20,58992,264843
runs,full_random,5000,8,21,58947,495510
runs,full_random,5000,8,22,58778,265494
runs,full_random,5000,8,23,58901,274365
runs,full_random,5000,8,24,58904,298424
runs,full_random,5000,8,25,58897,286080
runs,full_random,5000,8,26,58968,279082
runs,full_random,5000,8,27,58865,282873
runs,full_random,5000,8,28,58929,272855
runs,full_random,5000,8,29,58871,322251
vanilla,random_asc_runs,5000,8,0,52087,137574
vanilla,random_asc_runs,5000,8,1,51546,129992
vanilla,random_asc_runs,5000,8,2,51765,143194
vanilla,random_asc_runs,5000,8,3,51816,135425
vanilla,random_asc_runs,5000,8,4,51768,150997
vanilla,random_asc_runs,5000,8,5,51596,131501
vanilla,random_asc_runs,5000,8,6,51740,142776
vanilla,random_asc_runs,5000,8,7,51714,144087
vanilla,random_asc_runs,5000,8,8,51667,134741
vanilla,random_asc_runs,5000,8,9,51535,133429
vanilla,random_asc_runs,5000,8,10,51630,131898
vanilla,random_asc_runs,5000,8,11,51694,138389
vanilla,random_asc_runs,5000,8,12,51766,142643
vanilla,random_asc_runs,5000,8,13,51665,147349
vanilla,random_asc_runs,5000,8,14,51695,165567
vanilla,random_asc_runs,5000,8,15,51787,131413
vanilla,random_asc_runs,5000,8,16,51775,269340
vanilla,random_asc_runs,5000,8,17,51700,440417
vanilla,random_asc_runs,5000,8,18,51893,127445
vanilla,random_asc_runs,5000,8,19,51690,128482
vanilla,random_asc_runs,5000,8,20,52007,127996
vanilla,random_asc_runs,5000,8,21,51810,235064
vanilla,random_asc_runs,5000,8,22,51789,149906
vanilla,random_asc_runs,5000,8,23,51927,151791
vanilla,random_asc_runs,5000,8,24,51474,150909
vanilla,random_asc_runs,5000,8,25,51956,154413
vanilla,random_asc_runs,5000,8,26,51628,150579
vanilla,random_asc_runs,5000,8,27,51717,168421
vanilla,random_asc_runs,5000,8,28,51797,151978
vanilla,random_asc_runs,5000,8,29,51431,151052
runs,random_asc_runs,5000,8,0,47787,150799
runs,random_asc_runs,5000,8,1,47270,125969
runs,random_asc_runs,5000,8,2,47691,129627
runs,random_asc_runs,5000,8,3,47357,129121
runs,random_asc_runs,5000,8,4,47640,130752
runs,random_asc_runs,5000,8,5,47527,129507
runs,random_asc_runs,5000,8,6,47637,147063
runs,random_asc_runs,5000,8,7,47634,129837
runs,random_asc_runs,5000,8,8,47172,122024
runs,random_asc_runs,5000,8,9,47846,129055
runs,random_asc_runs,5000,8,10,47286,471344
runs,random_asc_runs,5000,8,11,47535,126674
runs,random_asc_runs,5000,8,12,47772,122542
runs,random_asc_runs,5000,8,13,47775,140847
runs,random_asc_runs,5000,8,14,47436,110352
runs,random_asc_runs,5000,8,15,47573,124712
runs,random_asc_runs,5000,8,16,47551,127533
runs,random_asc_runs,5000,8,17,47304,145201
runs,random_asc_runs,5000,8,18,47239,123743
runs,random_asc_runs,5000,8,19,47650,141353
runs,random_asc_runs,5000,8,20,47645,197886
runs,random_asc_runs,5000,8,21,47639,241451
runs,random_asc_runs,5000,8,22,47372,142318
runs,random_asc_runs,5000,8,23,47550,162646
runs,random_asc_runs,5000,8,24,47133,152364
runs,random_asc_runs,5000,8,25,47832,276255
runs,random_asc_runs,5000,8,26,47053,181987
runs,random_asc_runs,5000,8,27,47997,175464
runs,random_asc_runs,5000,8,28,47451,127148
runs,random_asc_runs,5000,8,29,47209,125605
vanilla,random_desc_runs,5000,8,0,51404,150204
vanilla,random_desc_runs,5000,8,1,51748,151416
vanilla,random_desc_runs,5000,8,2,51751,148639
vanilla,random_desc_runs,5000,8,3,51876,149157
vanilla,random_desc_runs,5000,8,4,51576,159748
vanilla,random_desc_runs,5000,8,5,51773,148253
vanilla,random_desc_runs,5000,8,6,51802,148495
vanilla,random_desc_runs,5000,8,7,51661,168146
vanilla,random_desc_runs,5000,8,8,51361,147272
vanilla,random_desc_runs,5000,8,9,51667,148683
vanilla,random_desc_runs,5000,8,10,51667,148231
vanilla,random_desc_runs,5000,8,11,51630,149333
vanilla,random_desc_runs,5000,8,12,51974,147647
vanilla,random_desc_runs,5000,8,13,51877,149454
vanilla,random_desc_runs,5000,8,14,51805,149234
vanilla,random_desc_runs,5000,8,15,51565,147250
vanilla,random_desc_runs,5000,8,16,51730,148507
vanilla,random_desc_runs,5000,8,17,51691,147481
