variant,pattern,n,max_run_len,iter,comparisons,time_ns
runs,random_desc_runs,1000,64,9,4467,8860
runs,random_desc_runs,1000,64,10,4283,8894
runs,random_desc_runs,1000,64,11,4543,9390
runs,random_desc_runs,1000,64,12,4180,6667
runs,random_desc_runs,1000,64,13,4276,6910
runs,random_desc_runs,1000,64,14,4376,6932
runs,random_desc_runs,1000,64,15,4733,7395
runs,random_desc_runs,1000,64,16,4351,6932
runs,random_desc_runs,1000,64,17,4139,6469
runs,random_desc_runs,1000,64,18,4255,7935
runs,random_desc_runs,1000,64,19,4312,8684
runs,random_desc_runs,1000,64,20,4235,8342
runs,random_desc_runs,1000,64,21,4515,9158
runs,random_desc_runs,1000,64,22,4610,9379
runs,random_desc_runs,1000,64,23,4267,8630
runs,random_desc_runs,1000,64,24,4617,9103
runs,random_desc_runs,1000,64,25,4616,9015
runs,random_desc_runs,1000,64,26,4059,8067
runs,random_desc_runs,1000,64,27,4500,9016
runs,random_desc_runs,1000,64,28,4399,8838
runs,random_desc_runs,1000,64,29,4333,8816
vanilla,random_mixed_runs,1000,64,0,7085,18371
vanilla,random_mixed_runs,1000,64,1,6689,16421
vanilla,random_mixed_runs,1000,64,2,6851,17435
vanilla,random_mixed_runs,1000,64,3,6465,15915
vanilla,random_mixed_runs,1000,64,4,6813,16740
vanilla,random_mixed_runs,1000,64,5,6833,16014
vanilla,random_mixed_runs,1000,64,6,6743,16587
vanilla,random_mixed_runs,1000,64,7,6603,15716
vanilla,random_mixed_runs,1000,64,8,6810,16156
vanilla,random_mixed_runs,1000,64,9,6760,15815
vanilla,random_mixed_runs,1000,64,10,6818,17336
vanilla,random_mixed_runs,1000,64,11,6840,18526
vanilla,random_mixed_runs,1000,64,12,6838,17898
vanilla,random_mixed_runs,1000,64,13,6981,18471
vanilla,random_mixed_runs,1000,64,14,6851,16267
vanilla,random_mixed_runs,1000,64,15,6384,14283
vanilla,random_mixed_runs,1000,64,16,6668,14272
vanilla,random_mixed_runs,1000,64,17,6724,16564
vanilla,random_mixed_runs,1000,64,18,6623,17711
vanilla,random_mixed_runs,1000,64,19,6590,16708
vanilla,random_mixed_runs,1000,64,20,6759,15055
vanilla,random_mixed_runs,1000,64,21,6759,14933
vanilla,random_mixed_runs,1000,64,22,6862,15716
vanilla,random_mixed_runs,1000,64,23,6678,15220
vanilla,random_mixed_runs,1000,64,24,7046,16201
vanilla,random_mixed_runs,1000,64,25,6446,14073
vanilla,random_mixed_runs,1000,64,26,6873,15540
vanilla,random_mixed_runs,1000,64,27,6573,15595
vanilla,random_mixed_runs,1000,64,28,6858,15837
vanilla,random_mixed_runs,1000,64,29,6565,14966
runs,random_mixed_runs,1000,64,0,5000,10492
runs,random_mixed_runs,1000,64,1,5099,10360
runs,random_mixed_runs,1000,64,2,4868,9467
runs,random_mixed_runs,1000,64,3,4111,7670
runs,random_mixed_runs,1000,64,4,4659,8729
runs,random_mixed_runs,1000,64,5,4957,9114
runs,random_mixed_runs,1000,64,6,4770,9103
runs,random_mixed_runs,1000,64,7,4322,8420
runs,random_mixed_runs,1000,64,8,4862,9004
runs,random_mixed_runs,1000,64,9,4580,8453
runs,random_mixed_runs,1000,64,10,4950,9423
runs,random_mixed_runs,1000,64,11,4585,9004
runs,random_mixed_runs,1000,64,12,4807,9401
runs,random_mixed_runs,1000,64,13,5325,10206
runs,random_mixed_runs,1000,64,14,4535,8695
runs,random_mixed_runs,1000,64,15,4817,9103
runs,random_mixed_runs,1000,64,16,4409,8927
runs,random_mixed_runs,1000,64,17,4658,9004
runs,random_mixed_runs,1000,64,18,4674,9103
runs,random_mixed_runs,1000,64,19,4984,9644
runs,random_mixed_runs,1000,64,20,4400,8276
runs,random_mixed_runs,1000,64,21,4747,8618
runs,random_mixed_runs,1000,64,22,4879,9908
runs,random_mixed_runs,1000,64,23,4437,9059
runs,random_mixed_runs,1000,64,24,4987,9687
runs,random_mixed_runs,1000,64,25,4375,8365
runs,random_mixed_runs,1000,64,26,4952,9423
runs,random_mixed_runs,1000,64,27,4646,52162
runs,random_mixed_runs,1000,64,28,4850,9213
runs,random_mixed_runs,1000,64,29,4557,8795
vanilla,full_random,5000,64,0,55453,300176
vanilla,full_random,5000,64,1,55484,339884
vanilla,full_random,5000,64,2,55494,283071
vanilla,full_random,5000,64,3,55450,266948
vanilla,full_random,5000,64,4,55529,315187
vanilla,full_random,5000,64,5,55484,281264
vanilla,full_random,5000,64,6,55505,261427
vanilla,full_random,5000,64,7,55488,261934
vanilla,full_random,5000,64,8,55548,260501
vanilla,full_random,5000,64,9,55433,260996
vanilla,full_random,5000,64,10,55551,262683
vanilla,full_random,5000,64,11,55542,323650
vanilla,full_random,5000,64,12,55512,344932
vanilla,full_random,5000,64,13,55458,307141
vanilla,full_random,5000,64,14,55546,260743
vanilla,full_random,5000,64,15,55521,283281
vanilla,full_random,5000,64,16,55500,291040
vanilla,full_random,5000,64,17,55514,262661
vanilla,full_random,5000,64,18,55536,295382
vanilla,full_random,5000,64,19,55574,268359
vanilla,full_random,5000,64,20,55556,265526
vanilla,full_random,5000,64,21,55508,263664
vanilla,full_random,5000,64,22,55510,262595
vanilla,full_random,5000,64,23,55457,261691
vanilla,full_random,5000,64,24,55399,273946
vanilla,full_random,5000,64,25,55496,260798
vanilla,full_random,5000,64,26,55468,295525
vanilla,full_random,5000,64,27,55443,257404
vanilla,full_random,5000,64,28,55533,256842
vanilla,full_random,5000,64,29,55453,259785
runs,full_random,5000,64,0,58965,272634
runs,full_random,5000,64,1,58896,285067
runs,full_random,5000,64,2,58876,266287
runs,full_random,5000,64,3,58770,270056
runs,full_random,5000,64,4,58874,276459
runs,full_random,5000,64,5,59010,269990
runs,full_random,5000,64,6,58964,268050
runs,full_random,5000,64,7,58909,268215
runs,full_random,5000,64,8,58927,277319
runs,full_random,5000,64,9,58952,282741
runs,full_random,5000,64,10,58941,267267
runs,full_random,5000,64,11,58945,267179
runs,full_random,5000,64,12,58946,265857
runs,full_random,5000,64,13,59009,266738
runs,full_random,5000,64,14,58980,284196
runs,full_random,5000,64,15,58981,276767
runs,full_random,5000,64,16,58912,269174
runs,full_random,5000,64,17,58987,306976
runs,full_random,5000,64,18,58939,283490
runs,full_random,5000,64,19,58929,295195
runs,full_random,5000,64,20,58992,314107
runs,full_random,5000,64,21,58947,331873
runs,full_random,5000,64,22,58778,308420
runs,full_random,5000,64,23,58901,269879
runs,full_random,5000,64,24,58904,262650
runs,full_random,5000,64,25,58897,279369
runs,full_random,5000,64,26,58968,268877
runs,full_random,5000,64,27,58865,261415
runs,full_random,5000,64,28,58929,261350
runs,full_random,5000,64,29,58871,275214
vanilla,random_asc_runs,5000,64,0,45479,80133
vanilla,random_asc_runs,5000,64,1,44473,76319
vanilla,random_asc_runs,5000,64,2,45283,76970
vanilla,random_asc_runs,5000,64,3,45508,76981
vanilla,random_asc_runs,5000,64,4,45513,77531
vanilla,random_asc_runs,5000,64,5,45567,77995
vanilla,random_asc_runs,5000,64,6,44968,76728
vanilla,random_asc_runs,5000,64,7,45619,77268
vanilla,random_asc_runs,5000,64,8,45642,76838
vanilla,random_asc_runs,5000,64,9,45075,76276
vanilla,random_asc_runs,5000,64,10,45607,77158
vanilla,random_asc_runs,5000,64,11,45064,76056
vanilla,random_asc_runs,5000,64,12,44639,76055
vanilla,random_asc_runs,5000,64,13,45819,77852
vanilla,random_asc_runs,5000,64,14,45623,78303
vanilla,random_asc_runs,5000,64,15,45483,77653
vanilla,random_asc_runs,5000,64,16,45403,88751
vanilla,random_asc_runs,5000,64,17,45253,86228
vanilla,random_asc_runs,5000,64,18,45064,96323
vanilla,random_asc_runs,5000,64,19,45491,96389
vanilla,random_asc_runs,5000,64,20,45915,96841
vanilla,random_asc_runs,5000,64,21,45871,98967
vanilla,random_asc_runs,5000,64,22,45348,114187
vanilla,random_asc_runs,5000,64,23,46104,100720
vanilla,random_asc_runs,5000,64,24,44587,102109
vanilla,random_asc_runs,5000,64,25,45554,107828
vanilla,random_asc_runs,5000,64,26,45777,108148
vanilla,random_asc_runs,5000,64,27,45449,107983
vanilla,random_asc_runs,5000,64,28,45360,111113
vanilla,random_asc_runs,5000,64,29,45863,100246
runs,random_asc_runs,5000,64,0,32564,61441
runs,random_asc_runs,5000,64,1,32043,60912
runs,random_asc_runs,5000,64,2,33406,63811
runs,random_asc_runs,5000,64,3,32212,61166
runs,random_asc_runs,5000,64,4,33224,63392
runs,random_asc_runs,5000,64,5,33441,63536
runs,random_asc_runs,5000,64,6,32580,61497
runs,random_asc_runs,5000,64,7,33170,62720
runs,random_asc_runs,5000,64,8,33033,62720
runs,random_asc_runs,5000,64,9,32393,61463
runs,random_asc_runs,5000,64,10,33062,62522
runs,random_asc_runs,5000,64,11,32264,61100
runs,random_asc_runs,5000,64,12,32203,61496
runs,random_asc_runs,5000,64,13,33008,60196
runs,random_asc_runs,5000,64,14,33525,62302
runs,random_asc_runs,5000,64,15,32903,60681
runs,random_asc_runs,5000,64,16,32013,58730
runs,random_asc_runs,5000,64,17,31867,71284
runs,random_asc_runs,5000,64,18,32633,59028
runs,random_asc_runs,5000,64,19,33007,61353
runs,random_asc_runs,5000,64,20,32931,60957
runs,random_asc_runs,5000,64,21,34495,64384
runs,random_asc_runs,5000,64,22,32259,59237
runs,random_asc_runs,5000,64,23,33092,61221
runs,random_asc_runs,5000,64,24,32059,58973
runs,random_asc_runs,5000,64,25,33477,61971
runs,random_asc_runs,5000,64,26,33072,60516
runs,random_asc_runs,5000,64,27,33047,60274
runs,random_asc_runs,5000,64,28,32433,59778
runs,random_asc_runs,5000,64,29,32704,60725
vanilla,random_desc_runs,5000,64,0,45308,97149
vanilla,random_desc_runs,5000,64,1,46040,95507
vanilla,random_desc_runs,5000,64,2,45599,127137
vanilla,random_desc_runs,5000,64,3,45945,95154
vanilla,random_desc_runs,5000,64,4,45248,100952
vanilla,random_desc_runs,5000,64,5,45634,109118
vanilla,random_desc_runs,5000,64,6,45065,92907
vanilla,random_desc_runs,5000,64,7,45720,93181
vanilla,random_desc_runs,5000,64,8,45139,92234
vanilla,random_desc_runs,5000,64,9,45463,92124
vanilla,random_desc_runs,5000,64,10,45479,93600
vanilla,random_desc_runs,5000,64,11,45109,92752
vanilla,random_desc_runs,5000,64,12,45637,99750
vanilla,random_desc_runs,5000,64,13,45880,92212
vanilla,random_desc_runs,5000,64,14,45955,97469
vanilla,random_desc_runs,5000,64,15,45520,96697
vanilla,random_desc_runs,5000,64,16,45227,96720
vanilla,random_desc_runs,5000,64,17,45047,100423
vanilla,random_desc_runs,5000,64,18,44856,95342
vanilla,random_desc_runs,5000,64,19,45669,99189
vanilla,random_desc_runs,5000,64,20,45365,192777
vanilla,random_desc_runs,5000,64,21,45481,105779
vanilla,random_desc_runs,5000,64,22,45630,93909
vanilla,random_desc_runs,5000,64,23,45383,92266
vanilla,random_desc_runs,5000,64,24,45667,94901
vanilla,random_desc_runs,5000,64,25,45569,94372
vanilla,random_desc_runs,5000,64,26,45442,93137
vanilla,random_desc_runs,5000,64,27,45598,95199
vanilla,random_desc_runs,5000,64,28,45624,94317
vanilla,random_desc_runs,5000,64,29,45309,125275
runs,random_desc_runs,5000,64,0,33403,66312
runs,random_desc_runs,5000,64,1,33018,65905
runs,random_desc_runs,5000,64,2,33000,65894
runs,random_desc_runs,5000,64,3,33950,68362
runs,random_desc_runs,5000,64,4,33589,66698
runs,random_desc_runs,5000,64,5,33690,93677
runs,random_desc_runs,5000,64,6,33278,65299
runs,random_desc_runs,5000,64,7,33336,65806
runs,random_desc_runs,5000,64,8,32847,64824
runs,random_desc_runs,5000,64,9,33126,75195
runs,random_desc_runs,5000,64,10,33124,66599
runs,random_desc_runs,5000,64,11,32798,64825
runs,random_desc_runs,5000,64,12,32707,64252
